id,income
50001,25250.668
50002,20772.867
50003,30006.191
50004,22232.594
50005,28610.29
50006,27792.44
50007,19147.492
50008,31958.31
50009,26401.914
50010,45551.83
50011,22026.846
50012,17803.021
50013,47230.68
50014,41398.934
50015,60196.445
50016,24978.309
50017,34128.06
50018,37018.883
50019,23897.99
50020,30381.293
50021,19882.568
50022,51289.492
50023,26946.355
50024,34052.99
50025,22251.902
50026,100265.96
50027,31016.262
50028,24928.832
50029,29804.477
50030,25472.297
50031,17087.398
50032,50002.516
50033,22412.436
50034,20835.98
50035,47163.93
50036,26906.527
50037,32011.91
50038,21895.613
50039,25758.99
50040,25985.518
50041,43927.07
50042,26117.43
50043,15381.449
50044,23589.723
50045,21248.91
50046,26968.293
50047,43275.188
50048,21654.682
50049,25669.848
50050,28355.041
50051,26602.262
50052,38546.477
50053,44714.734
50054,65445.703
50055,33155.688
50056,40817.4
50057,24485.006
50058,17050.916
50059,16698.473
50060,31217.91
50061,39102.0
50062,55778.562
50063,28882.512
50064,25191.82
50065,30254.922
50066,24587.102
50067,98926.84
50068,26409.24
50069,21671.736
50070,26496.73
50071,32256.652
50072,20019.867
50073,25311.188
50074,27232.592
50075,31721.328
50076,24445.814
50077,28863.562
50078,37078.344
50079,35168.406
50080,59449.688
50081,27491.7
50082,23624.332
50083,29107.39
50084,25669.848
50085,25711.592
50086,36239.934
50087,24851.543
50088,40209.438
50089,66854.28
50090,20081.348
50091,18233.812
50092,21796.305
50093,24373.613
50094,24586.215
50095,42260.555
50096,30638.818
50097,21347.812
50098,32572.594
50099,13380.783
50100,26857.748
50101,25571.98
50102,49996.812
50103,22457.562
50104,24385.355
50105,27295.535
50106,36534.52
50107,39199.68
50108,54261.555
50109,40260.89
50110,28895.2
50111,42992.89
50112,21571.133
50113,66963.71
50114,24122.559
50115,47019.31
50116,102819.7
50117,23119.105
50118,21108.426
50119,32350.67
50120,35475.062
50121,31181.705
50122,48272.703
50123,60708.25
50124,16081.799
50125,70416.45
50126,38004.383
50127,17557.885
50128,16934.434
50129,25009.518
50130,19254.613
50131,19181.875
50132,22412.436
50133,36135.773
50134,24183.375
50135,23652.227
50136,34290.43
50137,18447.8
50138,28703.266
50139,36764.203
50140,60982.168
50141,29121.07
50142,42105.53
50143,32498.297
50144,27571.0
50145,23512.871
50146,24468.07
50147,60896.39
50148,29874.266
50149,17888.043
50150,50309.727
50151,16188.377
50152,31422.049
50153,31509.361
50154,66092.766
50155,17482.277
50156,32568.31
50157,30219.537
50158,66381.28
50159,30773.508
50160,21814.73
50161,30666.336
50162,33689.695
50163,14104.275
50164,25826.172
50165,75334.59
50166,18546.336
50167,14721.568
50168,21701.955
50169,36340.9
50170,26524.238
50171,47959.53
50172,17054.111
50173,41423.305
50174,26409.24
50175,25983.795
50176,24728.463
50177,25321.27
50178,22240.316
50179,37622.812
